Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,1747,1671,2561,2969,3755,182,6247,0.00%,98.8,82.3,647.35
HTTP Request -Crear Tarea  (Video)-0,2000,102,92,138,154,252,64,420,0.00%,108.7,31.3,38.19
HTTP Request -Crear Tarea  (Video)-1,2000,1644,1566,2446,2840,3617,98,6136,0.00%,99.4,54.2,642.73
TOTAL,6000,1164,1264,2292,2637,3484,64,6247,0.00%,296.3,164.7,918.69
