Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,94,83,132,144,223,63,1223,0.00%,168.5,53.5,34.77
TOTAL,4000,94,83,132,144,223,63,1223,0.00%,168.5,53.5,34.77
