Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),20,26390,29861,32743,33135,34271,5469,34271,0.00%,.4,.1,7875.15
TOTAL,20,26390,29861,32743,33135,34271,5469,34271,0.00%,.4,.1,7875.15
