Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,1332,1298,2027,2270,2779,169,3348,0.00%,88.3,73.7,544.05
HTTP Request -Crear Tarea  (Video)-0,2000,92,84,130,140,171,64,1162,0.00%,95.3,27.6,34.92
HTTP Request -Crear Tarea  (Video)-1,2000,1239,1203,1938,2167,2699,100,3257,0.00%,88.8,48.4,541.80
TOTAL,6000,888,905,1844,2063,2654,64,3348,0.00%,264.9,147.4,717.37
