Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,2292,2229,3227,3616,4180,556,5996,0.00%,104.8,87.4,723.95
HTTP Request -Crear Tarea  (Video)-0,2000,118,107,156,176,464,65,1207,0.00%,116.2,33.5,69.08
HTTP Request -Crear Tarea  (Video)-1,2000,2171,2104,3090,3498,4081,471,5911,0.00%,105.7,57.6,720.10
TOTAL,6000,1527,1712,2965,3313,4051,65,5996,0.00%,314.5,174.8,1159.35
