Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,117,114,158,181,222,65,340,0.00%,753.3,239.1,33.80
TOTAL,4000,117,114,158,181,222,65,340,0.00%,753.3,239.1,33.80
