Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,2249,2101,3384,3824,5040,294,7269,0.00%,104.8,87.3,858.36
HTTP Request -Crear Tarea  (Video)-0,2000,116,110,154,174,255,64,1719,0.00%,115.9,33.4,69.49
HTTP Request -Crear Tarea  (Video)-1,2000,2131,1986,3275,3704,4940,185,7110,0.00%,105.7,57.6,851.64
TOTAL,6000,1498,1597,3037,3561,4650,64,7269,0.00%,314.3,174.7,1202.87
