Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Petición HTTP,50,24623,21645,40191,50988,63531,10849,63531,0.00%,.7,.3,12857.96
TOTAL,50,24623,21645,40191,50988,63531,10849,63531,0.00%,.7,.3,12857.96
