Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,95,86,133,143,190,63,296,0.00%,202.0,64.1,27.75
TOTAL,4000,95,86,133,143,190,63,296,0.00%,202.0,64.1,27.75
