Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,2172,2066,3203,3641,4509,222,6022,0.00%,105.0,87.5,813.24
HTTP Request -Crear Tarea  (Video)-0,2000,110,101,150,178,331,64,1102,0.00%,113.7,32.8,56.57
HTTP Request -Crear Tarea  (Video)-1,2000,2059,1957,3097,3528,4348,154,5916,0.00%,105.8,57.7,806.64
TOTAL,6000,1447,1548,2934,3368,4284,64,6022,0.00%,314.9,175.1,1154.92
