Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),500,137,136,137,138,208,133,217,0.00%,35.8,47.1,9.22
TOTAL,500,137,136,137,138,208,133,217,0.00%,35.8,47.1,9.22
