Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,633,282,1732,2076,2464,163,3453,0.00%,74.6,62.3,645.69
HTTP Request -Crear Tarea  (Video)-0,2000,88,82,122,132,152,64,223,0.00%,79.7,23.0,22.14
HTTP Request -Crear Tarea  (Video)-1,2000,544,195,1643,1984,2372,94,3367,0.00%,75.0,40.9,642.11
TOTAL,6000,422,184,1420,1866,2350,64,3453,0.00%,223.8,124.5,577.61
