timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1714895677698,7809,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-4,text,true,,191,36861298,25,25,http://34.49.147.190:8080/api/tasks/,7797,0,7
1714895677210,11226,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-1,text,true,,191,36861283,24,24,http://34.49.147.190:8080/api/tasks/,11226,0,49
1714895677909,14561,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-5,text,true,,191,36861310,23,23,http://34.49.147.190:8080/api/tasks/,14561,0,5
1714895678324,18934,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-7,text,true,,191,36861283,22,22,http://34.49.147.190:8080/api/tasks/,18933,0,10
1714895678116,22036,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-6,text,true,,191,36861295,21,21,http://34.49.147.190:8080/api/tasks/,22036,0,6
1714895679160,24755,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-11,text,true,,191,36861313,20,20,http://34.49.147.190:8080/api/tasks/,24755,0,8
1714895677279,31927,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-2,text,false,,488,36861289,19,19,http://34.49.147.190:8080/api/tasks/,31927,0,4
1714895677491,31757,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-3,text,false,,488,36861301,18,18,http://34.49.147.190:8080/api/tasks/,31757,0,5
1714895681857,29576,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-24,text,true,,191,36861298,17,17,http://34.49.147.190:8080/api/tasks/,29576,0,20
1714895680405,31047,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-17,text,true,,191,36861304,16,16,http://34.49.147.190:8080/api/tasks/,31047,0,7
1714895678739,33502,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-9,text,false,,488,36861292,15,15,http://34.49.147.190:8080/api/tasks/,33502,0,8
1714895678949,35664,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-10,text,false,,488,36861307,14,14,http://34.49.147.190:8080/api/tasks/,35664,0,4
1714895681027,34358,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-20,text,true,,191,36861283,13,13,http://34.49.147.190:8080/api/tasks/,34358,0,20
1714895678531,37173,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-8,text,false,,488,36861301,12,12,http://34.49.147.190:8080/api/tasks/,37173,0,24
1714895679363,36852,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-12,text,false,,488,36861313,11,11,http://34.49.147.190:8080/api/tasks/,36852,0,22
1714895679571,37733,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-13,text,false,,488,36861298,10,10,http://34.49.147.190:8080/api/tasks/,37733,0,5
1714895679783,37971,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-14,text,false,,488,36861301,9,9,http://34.49.147.190:8080/api/tasks/,37971,0,14
1714895679989,38247,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-15,text,false,,488,36861301,8,8,http://34.49.147.190:8080/api/tasks/,38247,0,7
1714895680197,38326,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-16,text,false,,488,36861310,7,7,http://34.49.147.190:8080/api/tasks/,38326,0,11
1714895680616,38129,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-18,text,false,,488,36861286,6,6,http://34.49.147.190:8080/api/tasks/,38129,0,8
1714895680823,38017,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-19,text,false,,488,36861307,5,5,http://34.49.147.190:8080/api/tasks/,38017,0,10
1714895681440,37464,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-22,text,false,,488,36861286,4,4,http://34.49.147.190:8080/api/tasks/,37464,0,7
1714895681647,37262,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-23,text,false,,488,36861310,3,3,http://34.49.147.190:8080/api/tasks/,37262,0,7
1714895681234,37699,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-21,text,false,,488,36861292,2,2,http://34.49.147.190:8080/api/tasks/,37699,0,6
1714895682058,37138,HTTP Request -Crear Tarea  (Video),502,Bad Gateway,Primer Escenario 1-25,text,false,,488,36861289,1,1,http://34.49.147.190:8080/api/tasks/,37138,0,6
