Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,17096,15703,31049,32435,32585,6504,32585,16.00%,.4,.1,8037.25
TOTAL,25,17096,15703,31049,32435,32585,6504,32585,16.00%,.4,.1,8037.25
