Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,1500,3043,2052,8230,9470,11019,159,12614,0.20%,55.5,36.0,3167.71
Consultar Videos-0,1500,167,89,231,422,1975,63,2150,0.00%,55.7,16.8,288.57
Consultar Videos-1,1500,2864,1856,8140,9367,10916,94,12358,0.20%,55.8,19.4,3123.55
TOTAL,4500,2025,225,6951,8707,10519,63,12614,0.13%,166.4,71.9,2890.58
