Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,26893,27936,37668,37791,37923,6745,37923,40.00%,.6,.2,10350.13
TOTAL,25,26893,27936,37668,37791,37923,6745,37923,40.00%,.6,.2,10350.13
