Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,109,95,140,157,349,64,6284,0.00%,199.8,63.2,112.50
TOTAL,4000,109,95,140,157,349,64,6284,0.00%,199.8,63.2,112.50
