Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,1500,4044,4031,7483,8306,9969,181,10756,0.00%,82.4,73.9,2518.27
Consultar Videos-0,1500,181,131,334,398,1208,65,2451,0.00%,83.4,25.1,204.37
Consultar Videos-1,1500,3506,3364,7193,8040,9887,113,10564,0.00%,83.1,49.5,2466.38
TOTAL,4500,2577,1904,6552,7706,9781,65,10756,0.00%,247.1,147.8,2659.57
