Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,1287,1258,1986,2217,3000,168,3989,0.00%,74.9,62.5,567.07
HTTP Request -Crear Tarea  (Video)-0,2000,88,83,122,134,156,64,277,0.00%,79.5,23.0,22.63
HTTP Request -Crear Tarea  (Video)-1,2000,1198,1163,1903,2118,2925,101,3840,0.00%,75.3,41.1,563.92
TOTAL,6000,858,833,1813,2045,2680,64,3989,0.00%,224.7,125.0,714.55
