Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,100,91,138,150,211,64,1398,0.00%,252.6,80.2,37.07
TOTAL,4000,100,91,138,150,211,64,1398,0.00%,252.6,80.2,37.07
