Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,719,339,1695,1941,2515,162,3553,0.00%,75.3,62.9,638.88
HTTP Request -Crear Tarea  (Video)-0,2000,86,81,121,131,148,64,197,0.00%,80.0,23.1,20.96
HTTP Request -Crear Tarea  (Video)-1,2000,631,250,1605,1854,2432,94,3473,0.00%,75.7,41.3,636.76
TOTAL,6000,479,195,1469,1783,2327,64,3553,0.00%,226.0,125.7,591.25
