Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,23912,27069,32820,33084,34146,5710,34146,44.00%,.5,.2,9170.03
TOTAL,25,23912,27069,32820,33084,34146,5710,34146,44.00%,.5,.2,9170.03
