Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),50,92087,88163,141261,142331,144654,6867,144654,0.00%,.3,.1,39870.75
TOTAL,50,92087,88163,141261,142331,144654,6867,144654,0.00%,.3,.1,39870.75
