Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,21540,24512,31528,34007,34034,6594,34034,24.00%,.5,.1,8785.74
TOTAL,25,21540,24512,31528,34007,34034,6594,34034,24.00%,.5,.1,8785.74
