Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,4000,96,85,133,141,170,63,5259,0.00%,201.6,64.0,89.74
TOTAL,4000,96,85,133,141,170,63,5259,0.00%,201.6,64.0,89.74
