Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,28749,37018,37982,38106,38145,7616,38145,56.00%,.6,.2,11133.19
TOTAL,25,28749,37018,37982,38106,38145,7616,38145,56.00%,.6,.2,11133.19
