Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,3467,2785,5570,6600,31161,241,32976,3.60%,50.8,43.2,3837.79
HTTP Request -Crear Tarea  (Video)-0,2000,112,101,151,175,322,64,742,0.00%,118.2,34.0,57.03
HTTP Request -Crear Tarea  (Video)-1,2000,3353,2658,5447,6479,31068,160,32860,3.60%,51.0,28.6,3835.98
TOTAL,6000,2311,1720,4814,5948,11457,64,32976,2.40%,152.5,86.4,3497.74
