timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716174116815,1436,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-3,text,true,,855,720,57,57,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,187,0,41
1716174116815,187,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-3,text,true,,296,360,57,57,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,187,0,41
1716174117003,1248,HTTP Request -Crear Tarea  (Video)-1,200,OK,Primer Escenario 1-3,text,true,,559,360,57,57,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,1248,0,1140
1716174117246,1016,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-39,text,true,,855,720,56,56,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,81,0,3
1716174117246,81,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-39,text,true,,296,360,56,56,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,81,0,3
1716174117332,930,HTTP Request -Crear Tarea  (Video)-1,200,OK,Primer Escenario 1-39,text,true,,559,360,56,56,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,930,0,820
1716174117113,1159,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-31,text,true,,854,720,56,56,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,66,0,3
1716174117113,66,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-31,text,true,,296,360,56,56,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,66,0,3
1716174117711,578,HTTP Request -Crear Tarea  (Video),200,OK,Primer Escenario 1-49,text,true,,855,720,56,56,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,86,0,5
1716174117711,86,HTTP Request -Crear Tarea  (Video)-0,302,Found,Primer Escenario 1-49,text,true,,296,360,56,56,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/,86,0,5
