Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,25227,31015,32723,34875,34889,7574,34889,44.00%,.5,.1,8683.60
TOTAL,25,25227,31015,32723,34875,34889,7574,34889,44.00%,.5,.1,8683.60
