Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,1779,1740,2548,2855,3405,212,5908,0.00%,99.0,82.5,616.38
HTTP Request -Crear Tarea  (Video)-0,2000,101,93,140,151,203,64,434,0.00%,109.6,31.6,31.80
HTTP Request -Crear Tarea  (Video)-1,2000,1676,1642,2437,2744,3335,126,5838,0.00%,99.7,54.4,612.12
TOTAL,6000,1185,1318,2328,2621,3247,64,5908,0.00%,296.9,164.9,917.34
