timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1716273887223,4910,Consultar Videos,200,OK,Grupo de Hilos 1-430,text,true,,658,672,584,584,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,65,0,3
1716273887223,65,Consultar Videos-0,302,Found,Grupo de Hilos 1-430,text,true,,308,336,584,584,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,65,0,3
1716273887288,4845,Consultar Videos-1,200,OK,Grupo de Hilos 1-430,text,true,,350,336,584,584,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,4845,0,4695
1716273886378,5809,Consultar Videos,200,OK,Grupo de Hilos 1-309,text,true,,659,672,583,583,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,270,0,52
1716273886378,270,Consultar Videos-0,302,Found,Grupo de Hilos 1-309,text,true,,308,336,583,583,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,270,0,52
1716273886649,5538,Consultar Videos-1,200,OK,Grupo de Hilos 1-309,text,true,,351,336,583,583,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,5538,0,5331
1716273885905,6422,Consultar Videos,200,OK,Grupo de Hilos 1-151,text,true,,659,672,583,583,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,316,0,219
1716273885943,7008,Consultar Videos,200,OK,Grupo de Hilos 1-164,text,true,,658,672,590,590,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,316,0,174
1716273885943,316,Consultar Videos-0,302,Found,Grupo de Hilos 1-164,text,true,,308,336,590,590,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,316,0,174
1716273886260,6691,Consultar Videos-1,200,OK,Grupo de Hilos 1-164,text,true,,350,336,590,590,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,6691,0,6521
1716273887219,5112,Consultar Videos,200,OK,Grupo de Hilos 1-453,text,true,,658,672,583,583,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,111,0,7
1716273887219,111,Consultar Videos-0,302,Found,Grupo de Hilos 1-453,text,true,,308,336,583,583,http://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,111,0,7
1716273887330,5001,Consultar Videos-1,200,OK,Grupo de Hilos 1-453,text,true,,350,336,583,583,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,5001,0,4855
1716273886201,6753,Consultar Videos,200,OK,Grupo de Hilos 1-250,text,true,,659,672,590,590,https://web-app-n7h4t3ddea-uw.a.run.app/api/tasks/all?max=1000,135,0,17
