Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),500,137,137,138,139,167,135,219,0.00%,27.8,36.6,7.61
TOTAL,500,137,137,138,139,167,135,219,0.00%,27.8,36.6,7.61
