Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Petición HTTP,50,27608,26703,45094,48702,54480,10910,54480,0.00%,.7,.3,12382.62
TOTAL,50,27608,26703,45094,48702,54480,10910,54480,0.00%,.7,.3,12382.62
