Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Consultar Videos,1500,5480,5943,10663,10859,11314,162,11401,3.73%,93.8,60.8,4596.09
Consultar Videos-0,1500,158,121,285,333,377,64,3891,0.00%,95.0,28.6,182.95
Consultar Videos-1,1500,5292,5810,10299,10559,10909,96,11025,3.73%,95.5,33.2,4529.06
TOTAL,4500,3643,412,10340,10642,11186,64,11401,2.49%,281.3,121.6,4468.71
