Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,1924,1821,3166,3544,4429,181,8947,0.10%,85.3,71.0,961.61
HTTP Request -Crear Tarea  (Video)-0,2000,92,84,130,139,166,63,297,0.00%,94.5,27.2,25.23
HTTP Request -Crear Tarea  (Video)-1,2000,1831,1718,3068,3452,4342,97,8816,0.10%,85.8,46.8,959.62
TOTAL,6000,1282,1190,2856,3278,4224,63,8947,0.07%,256.0,142.1,1151.24
