Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),20,32831,34462,41277,42855,43111,11181,43111,0.00%,.4,.1,8321.81
TOTAL,20,32831,34462,41277,42855,43111,11181,43111,0.00%,.4,.1,8321.81
