Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),2000,2134,1996,3119,3557,4327,440,5357,0.00%,106.2,88.5,731.46
HTTP Request -Crear Tarea  (Video)-0,2000,120,107,158,185,471,64,802,0.00%,117.0,33.7,69.13
HTTP Request -Crear Tarea  (Video)-1,2000,2013,1877,3006,3400,4132,319,5186,0.00%,107.0,58.3,722.59
TOTAL,6000,1422,1573,2844,3250,4004,64,5357,0.00%,318.5,177.0,1097.69
