Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request -Crear Tarea  (Video),25,28821,32184,33597,33805,36160,7665,36160,72.00%,.6,.2,7600.73
TOTAL,25,28821,32184,33597,33805,36160,7665,36160,72.00%,.6,.2,7600.73
